ID,Date,State,City,Gender,Age Group
1574898.0,31-Dec-18,Nevada,Las Vegas,male,Adult 18+
1574898.0,31-Dec-18,Nevada,Las Vegas,female,Adult 18+
1574898.0,31-Dec-18,Nevada,Las Vegas,male,Adult 18+
1574898.0,31-Dec-18,Nevada,Las Vegas,male,Adult 18+
1574898.0,31-Dec-18,Nevada,Las Vegas,male,Adult 18+
1303872.0,31-Dec-18,South Carolina,North Charleston,male,Adult 18+
1303867.0,31-Dec-18,Mississippi,Vicksburg,male,Teen 12-17
1303867.0,31-Dec-18,Mississippi,Vicksburg,male,Adult 18+
1294393.0,31-Dec-18,Arkansas,Bethel Heights,male,Adult 18+
1294393.0,31-Dec-18,Arkansas,Bethel Heights,male,Adult 18+
1294338.0,31-Dec-18,North Carolina,Rocky Mount,female,Adult 18+
1294338.0,31-Dec-18,North Carolina,Rocky Mount,female,Adult 18+
1293717.0,31-Dec-18,California,Hanford,male,Adult 18+
1293717.0,31-Dec-18,California,Hanford,male,Adult 18+
1292746.0,31-Dec-18,Ohio,Cleveland,female,Adult 18+
1292257.0,31-Dec-18,Ohio,Ravenna,female,Adult 18+
1292257.0,31-Dec-18,Ohio,Ravenna,male,Adult 18+
1292121.0,31-Dec-18,Wisconsin,Racine,male,Adult 18+
1291926.0,31-Dec-18,North Carolina,Durham,male,Adult 18+
1291649.0,31-Dec-18,Florida,Palatka,male,Adult 18+
1291649.0,31-Dec-18,Florida,Palatka,male,Adult 18+
1291463.0,31-Dec-18,New Jersey,Vineland,male,Adult 18+
1291459.0,31-Dec-18,New Jersey,Vineland,male,Adult 18+
1291099.0,31-Dec-18,Missouri,Eldon,female,Adult 18+
1291099.0,31-Dec-18,Missouri,Eldon,male,Adult 18+
1290923.0,31-Dec-18,Mississippi,Flowood,male,Adult 18+
1290923.0,31-Dec-18,Mississippi,Flowood,female,Adult 18+
1290923.0,31-Dec-18,Mississippi,Flowood,male,Adult 18+
1290923.0,31-Dec-18,Mississippi,Flowood,male,Adult 18+
1290923.0,31-Dec-18,Mississippi,Flowood,male,Adult 18+
1290923.0,31-Dec-18,Mississippi,Flowood,male,Adult 18+
1290880.0,31-Dec-18,Alabama,Gadsden,male,Adult 18+
1290813.0,31-Dec-18,Virginia,Richmond,female,Adult 18+
1290813.0,31-Dec-18,Virginia,Richmond,male,Adult 18+
1290799.0,31-Dec-18,Georgia,Atlanta,female,Adult 18+
1290523.0,31-Dec-18,Colorado,Denver,male,Teen 12-17
1290523.0,31-Dec-18,Colorado,Denver,N/A,Adult 18+
1290515.0,31-Dec-18,Colorado,Colorado Springs,male,Adult 18+
1290497.0,31-Dec-18,Missouri,Saint Louis,male,Adult 18+
1290413.0,31-Dec-18,Nevada,Las Vegas,N/A,N/A
1290374.0,31-Dec-18,Iowa,Dayton,male,Adult 18+
1290354.0,31-Dec-18,California,Oakland,male,Adult 18+
1290354.0,31-Dec-18,California,Oakland,male,Adult 18+
1290298.0,31-Dec-18,Ohio,Dayton,female,Adult 18+
1290285.0,31-Dec-18,Texas,Houston,female,Adult 18+
1290256.0,31-Dec-18,Texas,Fort Worth,male,N/A
1290256.0,31-Dec-18,Texas,Fort Worth,male,Adult 18+
1290238.0,31-Dec-18,Kentucky,Hopkinsville,male,Adult 18+
1290238.0,31-Dec-18,Kentucky,Hopkinsville,male,Adult 18+
1290226.0,31-Dec-18,Louisiana,New Orleans,male,Adult 18+
1290226.0,31-Dec-18,Louisiana,New Orleans,male,Adult 18+
1290216.0,31-Dec-18,New Jersey,Atlantic City,male,Adult 18+
1290216.0,31-Dec-18,New Jersey,Atlantic City,male,Adult 18+
1290194.0,31-Dec-18,Missouri,Saint Louis,male,Adult 18+
1290186.0,31-Dec-18,New York,Buffalo,male,Adult 18+
1290159.0,31-Dec-18,Louisiana,New Iberia,N/A,N/A
1290159.0,31-Dec-18,Louisiana,New Iberia,male,Adult 18+
1290143.0,31-Dec-18,Nebraska,Cotesfield,male,Adult 18+
1290134.0,31-Dec-18,Missouri,Saint Joseph,male,N/A
1290134.0,31-Dec-18,Missouri,Saint Joseph,N/A,Adult 18+
1290134.0,31-Dec-18,Missouri,Saint Joseph,N/A,Adult 18+
1290099.0,31-Dec-18,Arkansas,Fayetteville,male,Adult 18+
1290099.0,31-Dec-18,Arkansas,Fayetteville,male,Adult 18+
1290094.0,31-Dec-18,Texas,Tyler,male,Adult 18+
1290094.0,31-Dec-18,Texas,Tyler,female,Adult 18+
1290065.0,31-Dec-18,Michigan,Benton Harbor,male,Adult 18+
1290065.0,31-Dec-18,Michigan,Benton Harbor,female,Adult 18+
1290065.0,31-Dec-18,Michigan,Benton Harbor,male,Adult 18+
1290028.0,31-Dec-18,Texas,Fort Worth,female,Adult 18+
1290028.0,31-Dec-18,Texas,Fort Worth,male,Adult 18+
1289903.0,31-Dec-18,Indiana,Indianapolis,male,Adult 18+
1289893.0,31-Dec-18,South Carolina,Columbia,male,Adult 18+
1289893.0,31-Dec-18,South Carolina,Columbia,male,Adult 18+
1289893.0,31-Dec-18,South Carolina,Columbia,male,Adult 18+
1289865.0,31-Dec-18,Tennessee,Bartlett,male,Adult 18+
1289865.0,31-Dec-18,Tennessee,Bartlett,female,Adult 18+
1289865.0,31-Dec-18,Tennessee,Bartlett,male,Adult 18+
1289845.0,31-Dec-18,Ohio,Cleveland,male,Adult 18+
1289845.0,31-Dec-18,Ohio,Cleveland,male,Adult 18+
1289794.0,31-Dec-18,Georgia,Stone Mountain,male,Adult 18+
1289721.0,31-Dec-18,Ohio,Columbus,male,Adult 18+
1289686.0,31-Dec-18,Ohio,Cleveland,male,Adult 18+
1289686.0,31-Dec-18,Ohio,Cleveland,male,Adult 18+
1289686.0,31-Dec-18,Ohio,Cleveland,male,Adult 18+
1289686.0,31-Dec-18,Ohio,Cleveland,female,Adult 18+
1289686.0,31-Dec-18,Ohio,Cleveland,male,Adult 18+
1289669.0,31-Dec-18,Illinois,Chicago,female,Adult 18+
1289669.0,31-Dec-18,Illinois,Chicago,female,Adult 18+
1289669.0,31-Dec-18,Illinois,Chicago,male,N/A
1289663.0,31-Dec-18,New Jersey,Pleasantville,male,Adult 18+
1289659.0,31-Dec-18,Illinois,Chicago,male,Adult 18+
1289659.0,31-Dec-18,Illinois,Chicago,N/A,N/A
1289659.0,31-Dec-18,Illinois,Chicago,N/A,N/A
1289653.0,31-Dec-18,Illinois,Elk Grove Village,male,Adult 18+
